epoch,train_loss,val_loss,val_acc,val_precision,val_recall,val_f1,test_loss,test_acc,test_precision,test_recall,test_f1
1,36.811695611777424,5.743707204717596,0.0406905055487053,0.0539513328791032,0.0406905055487053,0.0338695077492774,,,,,
2,35.08841387965098,5.03192083462246,0.0530209617755857,0.0740397524592616,0.0530209617755857,0.0418026124938605,,,,,
3,32.987728022727644,4.432006972344677,0.0468557336621455,0.0282548197972326,0.0468557336621455,0.0313062801082833,,,,,
4,8.835800633601407,3.611136863616774,0.0147965474722564,0.0002189378170987,0.0147965474722564,0.000431491056299,,,,,
5,0.0169041376529621,3.610916146808723,0.0073982737361282,5.473445427468485e-05,0.0073982737361282,0.0001086649753164,,,,,
6,0.0154733212367326,3.610914566072965,0.0172626387176325,0.0002983665951195,0.0172626387176325,0.0005865945195312,,,,,
7,0.0152946806301464,3.610921713926642,0.0110974106041923,0.0001233045622688,0.0110974106041923,0.000243899134158,,,,,
8,0.0152212305996222,3.610910428290597,0.0123304562268803,0.000152040150763,0.0123304562268803,0.0003003765219702,,,,,
9,0.0149081049862654,3.6109181599905114,0.0147965474722564,0.0002189378170987,0.0147965474722564,0.000431491056299,,,,,
10,0.0148521734151144,3.610919324155213,0.0073982737361282,5.473445427468485e-05,0.0073982737361282,0.0001086649753164,,,,,
11,0.0148409240088668,3.61092021550556,0.0073982737361282,0.0013820965067822,0.0073982737361282,0.0013742714691623,,,,,
12,0.0148939653417142,3.610916629525501,0.0073982737361282,5.473445427468485e-05,0.0073982737361282,0.0001086649753164,,,,,
13,0.0149185288493998,3.610915783742206,0.0197287299630086,0.0003892227859533,0.0197287299630086,0.000763384956247,,,,,
14,0.0149564045254422,3.610919851263119,0.0073982737361282,5.473445427468485e-05,0.0073982737361282,0.0001086649753164,,,,,
15,0.0146436527872285,3.610918799693135,0.0209617755856966,0.0010119477868957,0.0209617755856966,0.0019306898565773,,,,,
16,0.0146361784226879,3.610917427389895,0.0073982737361282,5.473445427468485e-05,0.0073982737361282,0.0001086649753164,,,,,
17,0.0146566413562087,3.6109232105838394,0.0073982737361282,5.473445427468485e-05,0.0073982737361282,0.0001086649753164,,,,,
18,0.0147396119374061,3.610920479206504,0.0110974106041923,0.000123152522118,0.0110974106041923,0.0002436016961895,,,,,
19,0.0147259806228034,3.610919677226376,0.0110974106041923,0.0001233045622688,0.0110974106041923,0.000243899134158,,,,,
20,0.0147409887686997,3.610919534057636,0.0123304562268803,0.0006282236387519,0.0123304562268803,0.0010779914517153,3.610935926437378,0.0,0.0,0.0,0.0
